id_venda,data_venda,id_cliente,id_produto,quantidade
1,2024-05-01,97,46,407
2,2024-06-13,34,16,62
3,2024-01-17,25,18,450
4,2024-06-27,78,20,113
5,2024-06-27,59,8,150
6,2024-02-22,13,15,246
7,2024-03-02,4,6,486
8,2024-04-09,1,46,91
9,2024-05-24,8,33,50
10,2024-01-05,75,28,238
11,2024-04-19,78,30,364
12,2024-06-15,57,50,134
13,2024-03-20,9,8,119
14,2024-05-31,62,48,492
15,2024-05-04,59,19,120
16,2024-05-22,91,27,136
17,2024-01-04,81,17,171
18,2024-01-08,10,10,485
19,2024-06-04,87,15,156
20,2024-06-22,46,21,350
21,2024-01-13,60,45,331
22,2024-04-09,69,31,319
23,2024-01-26,68,2,183
24,2024-06-17,96,12,246
25,2024-02-12,55,46,348
26,2024-01-10,42,40,163
27,2024-05-19,55,17,205
28,2024-01-22,83,38,145
29,2024-03-15,5,43,273
30,2024-04-28,26,6,232
31,2024-02-28,6,1,186
32,2024-01-28,51,16,369
33,2024-05-24,61,4,150
34,2024-02-29,42,13,402
35,2024-03-23,33,31,424
36,2024-04-13,92,30,352
37,2024-06-06,59,5,247
38,2024-06-05,73,34,464
39,2024-03-05,96,10,498
40,2024-03-25,90,47,329
41,2024-03-19,37,39,43
42,2024-06-20,90,13,66
43,2024-03-08,24,19,146
44,2024-02-06,62,47,190
45,2024-01-23,82,6,451
46,2024-01-01,49,36,243
47,2024-06-01,33,28,332
48,2024-03-02,8,3,336
49,2024-05-17,49,21,329
50,2024-05-30,17,39,336
51,2024-04-09,99,8,30
52,2024-04-23,89,19,487
53,2024-01-26,37,45,241
54,2024-02-02,24,31,247
55,2024-03-21,78,20,362
56,2024-04-10,1,29,192
57,2024-03-11,66,32,56
58,2024-05-06,13,2,400
59,2024-01-12,82,35,200
60,2024-06-08,16,23,359
61,2024-05-18,91,31,407
62,2024-04-13,49,20,323
63,2024-04-22,49,43,468
64,2024-03-19,62,43,285
65,2024-01-23,73,12,491
66,2024-05-24,8,21,213
67,2024-01-23,67,32,184
68,2024-03-29,30,6,156
69,2024-05-07,80,36,192
70,2024-06-12,94,15,307
71,2024-05-14,100,29,242
72,2024-04-04,2,48,459
73,2024-01-04,9,32,189
74,2024-01-12,27,12,321
75,2024-05-19,14,18,262
76,2024-06-05,15,44,240
77,2024-05-04,83,30,57
78,2024-05-08,79,16,262
79,2024-03-28,74,18,346
80,2024-03-01,87,15,54
81,2024-02-26,45,18,197
82,2024-01-26,19,37,319
83,2024-06-10,51,34,245
84,2024-03-30,81,29,124
85,2024-01-25,43,13,432
86,2024-01-07,59,12,398
87,2024-01-18,95,24,470
88,2024-06-23,63,25,483
89,2024-02-29,81,33,175
90,2024-02-01,76,40,194
91,2024-02-15,44,26,474
92,2024-01-27,78,5,485
93,2024-06-26,96,33,378
94,2024-05-20,93,27,387
95,2024-05-01,32,14,409
96,2024-02-24,64,10,348
97,2024-02-21,26,43,197
98,2024-04-27,100,45,258
99,2024-05-25,27,17,219
100,2024-01-28,98,44,192
101,2024-01-14,33,13,227
102,2024-04-04,39,33,253
103,2024-03-26,2,24,61
104,2024-06-07,59,9,263
105,2024-04-21,57,45,30
106,2024-04-16,93,9,210
107,2024-01-14,35,5,165
108,2024-04-09,73,26,441
109,2024-02-03,86,47,224
110,2024-06-24,30,49,164
111,2024-06-10,53,50,65
112,2024-03-18,11,37,333
113,2024-06-09,59,9,220
114,2024-06-14,29,44,344
115,2024-04-22,79,35,191
116,2024-02-12,88,41,463
117,2024-03-09,51,13,243
118,2024-01-09,61,35,211
119,2024-04-12,93,5,146
120,2024-03-05,14,45,378
121,2024-05-17,32,5,251
122,2024-03-19,27,5,351
123,2024-04-19,68,8,415
124,2024-03-29,59,5,237
125,2024-01-02,13,1,261
126,2024-05-08,10,29,443
127,2024-01-10,55,6,206
128,2024-05-25,30,40,456
129,2024-04-20,71,12,315
130,2024-02-22,79,14,487
131,2024-04-08,53,49,456
132,2024-05-31,64,44,117
133,2024-06-25,53,27,498
134,2024-03-16,19,13,342
135,2024-01-29,86,4,337
136,2024-03-13,41,17,385
137,2024-05-25,57,35,167
138,2024-01-17,87,17,148
139,2024-05-15,47,16,100
140,2024-04-16,43,32,249
141,2024-06-20,7,50,115
142,2024-01-04,100,42,51
143,2024-06-22,7,17,272
